"FileName","ShaderName","Status","Reason","PassCount","ProgramCount","HasVertexPragma","HasFragmentPragma","HasFunctionLike","HasStruct","HasFallbackError","Size","FullPath"
"_URP_UI_屏幕效果.shader","_URP/UI/屏幕效果","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","False","3462","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_UI_屏幕效果.shader"
"_URP_环境_触手.shader","_URP/环境/触手","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","True","3033","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_环境_触手.shader"
"_URP_环境_触手_0.shader","_URP/环境/触手","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","True","3033","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_环境_触手_0.shader"
"_URP_环境_氛围光.shader","_URP/环境/氛围光","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","False","2927","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_环境_氛围光.shader"
"_URP_环境_默认.shader","_URP/环境/默认","空壳不可用","有Pass但没有CG或HLSL程序块","4","0","False","False","False","False","True","9187","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_环境_默认.shader"
"_URP_环境_默认_0.shader","_URP/环境/默认","空壳不可用","有Pass但没有CG或HLSL程序块","4","0","False","False","False","False","True","9187","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_环境_默认_0.shader"
"_URP_环境_默认_1.shader","_URP/环境/默认","空壳不可用","有Pass但没有CG或HLSL程序块","4","0","False","False","False","False","True","9187","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_环境_默认_1.shader"
"_URP_环境_默认_2.shader","_URP/环境/默认","空壳不可用","有Pass但没有CG或HLSL程序块","4","0","False","False","False","False","True","9187","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_环境_默认_2.shader"
"_URP_环境_默认_3.shader","_URP/环境/默认","空壳不可用","有Pass但没有CG或HLSL程序块","4","0","False","False","False","False","True","9187","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_环境_默认_3.shader"
"_URP_环境_默认_4.shader","_URP/环境/默认","空壳不可用","有Pass但没有CG或HLSL程序块","4","0","False","False","False","False","True","9187","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_环境_默认_4.shader"
"_URP_环境_默认_5.shader","_URP/环境/默认","空壳不可用","有Pass但没有CG或HLSL程序块","4","0","False","False","False","False","True","9187","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_环境_默认_5.shader"
"_URP_环境_默认_6.shader","_URP/环境/默认","空壳不可用","有Pass但没有CG或HLSL程序块","4","0","False","False","False","False","True","9187","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_环境_默认_6.shader"
"_URP_环境_默认_7.shader","_URP/环境/默认","空壳不可用","有Pass但没有CG或HLSL程序块","4","0","False","False","False","False","True","9187","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_环境_默认_7.shader"
"_URP_环境_水.shader","_URP/环境/水","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","True","4755","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_环境_水.shader"
"_URP_扭曲.shader","_URP/扭曲","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","True","2432","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_扭曲.shader"
"_URP_扭曲_0.shader","_URP/扭曲","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","True","2432","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_扭曲_0.shader"
"_URP_扭曲_1.shader","_URP/扭曲","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","True","2432","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_扭曲_1.shader"
"_URP_扭曲_10.shader","_URP/扭曲","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","True","2432","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_扭曲_10.shader"
"_URP_扭曲_2.shader","_URP/扭曲","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","True","2432","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_扭曲_2.shader"
"_URP_扭曲_3.shader","_URP/扭曲","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","True","2432","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_扭曲_3.shader"
"_URP_扭曲_4.shader","_URP/扭曲","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","True","2432","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_扭曲_4.shader"
"_URP_扭曲_5.shader","_URP/扭曲","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","True","2432","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_扭曲_5.shader"
"_URP_扭曲_6.shader","_URP/扭曲","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","True","2432","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_扭曲_6.shader"
"_URP_扭曲_7.shader","_URP/扭曲","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","True","2432","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_扭曲_7.shader"
"_URP_扭曲_8.shader","_URP/扭曲","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","True","2432","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_扭曲_8.shader"
"_URP_扭曲_9.shader","_URP/扭曲","空壳不可用","有Pass但没有CG或HLSL程序块","3","0","False","False","False","False","True","2432","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_扭曲_9.shader"
"_URP_人物Spine.shader","_URP/人物Spine","空壳不可用","有Pass但没有CG或HLSL程序块","4","0","False","False","False","False","True","4940","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_人物Spine.shader"
"_URP_人物Spine_0.shader","_URP/人物Spine","空壳不可用","有Pass但没有CG或HLSL程序块","4","0","False","False","False","False","True","4940","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_人物Spine_0.shader"
"_URP_人物Spine_1.shader","_URP/人物Spine","空壳不可用","有Pass但没有CG或HLSL程序块","4","0","False","False","False","False","True","4940","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_人物Spine_1.shader"
"_URP_人物Spine_10.shader","_URP/人物Spine","空壳不可用","有Pass但没有CG或HLSL程序块","4","0","False","False","False","False","True","4940","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_人物Spine_10.shader"
"_URP_人物Spine_100.shader","_URP/人物Spine","空壳不可用","有Pass但没有CG或HLSL程序块","4","0","False","False","False","False","True","4940","D:\CrackALL\灰烬之国\破解资源1\CinderiaFix\Assets\Shaders\_URP_人物Spine_100.shader"
